FY_Year,Region,Market_Fee,Network_Fee,Other_Fee
21/22,NSW,0.0041,0.117,0.1964
21/22,VIC,0.0041,0.0866,0.2687
21/22,QLD,0.0041,0.0892,0.1653
21/22,SA,0.0041,0.1451,0.2216
21/22,TAS,0.0041,0.0959,0.2
22/23,NSW,0.0041,0.117,0.1964
22/23,VIC,0.0041,0.0866,0.2687
22/23,QLD,0.0041,0.0892,0.1653
22/23,SA,0.0041,0.1451,0.2216
22/23,TAS,0.0041,0.0959,0.2
23/24,NSW,0.0041,0.117,0.1964
23/24,VIC,0.0041,0.0866,0.2687
23/24,QLD,0.0041,0.0892,0.1653
23/24,SA,0.0041,0.1451,0.2216
23/24,TAS,0.0041,0.0959,0.2
24/25,NSW,0.0041,0.117,0.1964
24/25,VIC,0.0041,0.0866,0.2687
24/25,QLD,0.0041,0.0892,0.1653
24/25,SA,0.0041,0.1451,0.2216
24/25,TAS,0.0041,0.0959,0.2
25/26,NSW,0.0041,0.117,0.1964
25/26,VIC,0.0041,0.0866,0.2687
25/26,QLD,0.0041,0.0892,0.1653
25/26,SA,0.0041,0.1451,0.2216
25/26,TAS,0.0041,0.0959,0.2
